,Quarter,Tm,Detail,DET,NYJ
0,2.0,Lions,David Hill 12 yard pass from Jeff Komlo (Benny Ricardo kick),7,0
1,2.0,Jets,Kevin Long 4 yard rush (Pat Leahy kick),7,7
2,2.0,Jets,Kevin Long 7 yard rush (Pat Leahy kick),7,14
3,3.0,Jets,Pat Leahy 30 yard field goal,7,17
4,4.0,Lions,Benny Ricardo 36 yard field goal,10,17
5,4.0,Jets,Scott Dierking 2 yard rush (Pat Leahy kick),10,24
6,4.0,Jets,Kevin Long 5 yard rush (Pat Leahy kick),10,31
