,Quarter,Tm,Detail,NYY,POT
0,2,Maroons,"Safety,",0,2
1,3,Maroons,Joe Rooney unknown yard pass from Jack Ernst (Johnny Budd kick),0,9
2,4,Yankees,Wild Bill Kelly 15 yard rush (Bo Molenda kick),7,9
