,Quarter,Time,Tm,Detail,OAK,DEN
0,1.0,9:42,Broncos,Brandon McManus 41 yard field goal,0,3
1,1.0,2:05,Broncos,Brandon McManus 35 yard field goal,0,6
2,2.0,4:29,Broncos,Brandon McManus 29 yard field goal,0,9
3,2.0,0:04,Broncos,Brandon McManus 20 yard field goal,0,12
4,3.0,9:47,Raiders,Seth Roberts 11 yard pass from Derek Carr (Sebastian Janikowski kick),7,12
5,3.0,1:50,Raiders,"Safety, Benson Mayowa tackled in end zone by Max Garcia",9,12
6,4.0,14:26,Raiders,Mychal Rivera 16 yard pass from Derek Carr (pass failed),15,12
