,Quarter,Tm,Detail,TAM,CIN
0,1.0,Bengals,Ian Sunter 35 yard field goal,0,3
1,2.0,Buccaneers,Garo Yepremian 19 yard field goal,3,3
2,2.0,Buccaneers,Jimmie Giles 32 yard pass from Doug Williams (Garo Yepremian kick),10,3
3,3.0,Bengals,"Safety, Blanchard ran out of end zone",10,5
4,4.0,Bengals,Dan Ross 3 yard pass from Jack Thompson (Ian Sunter kick),10,12
5,4.0,Buccaneers,Jimmie Giles 15 yard pass from Doug Williams (Garo Yepremian kick),17,12
