,Quarter,Time,Tm,Detail,JAX,MIN
0,1.0,11:02,Jaguars,Mike Hollis 39 yard field goal,3,0
1,1.0,8:42,Jaguars,Stacey Mack 3 yard rush (Mike Hollis kick),10,0
2,2.0,11:15,Jaguars,Mike Hollis 23 yard field goal,13,0
3,2.0,4:54,Jaguars,Mike Hollis 21 yard field goal,16,0
4,2.0,0:00,Vikings,Gary Anderson 32 yard field goal,16,3
5,3.0,0:40,Jaguars,Keenan McCardell 10 yard pass from Mark Brunell (Mike Hollis kick),23,3
6,4.0,12:09,Jaguars,Mike Hollis 21 yard field goal,26,3
7,4.0,2:12,Jaguars,Stacey Mack 2 yard rush (Mike Hollis kick),33,3
