,Quarter,Time,Tm,Detail,CLE,TEN
0,1.0,4:46,Titans,"Safety, E. Robinson sacked Couch in end zone",0,2
1,2.0,12:59,Titans,Eddie George 1 yard rush (Al Del Greco kick),0,9
2,2.0,6:50,Browns,Phil Dawson 41 yard field goal,3,9
3,2.0,2:21,Titans,Eddie George 1 yard rush (Al Del Greco kick),3,16
4,3.0,6:39,Titans,Al Del Greco 35 yard field goal,3,19
5,3.0,2:51,Browns,Kevin Johnson 39 yard pass from Tim Couch (pass failed),9,19
6,4.0,9:52,Titans,Yancey Thigpen 14 yard pass from Neil O'Donnell (Al Del Greco kick),9,26
