,Quarter,Time,Tm,Detail,JAX,BUF
0,1.0,,Jaguars,Tavian Banks 1 yard rush (Mike Hollis kick),7,0
1,2.0,,Bills,Eric Moulds 12 yard pass from Doug Flutie (Steve Christie kick),7,7
2,2.0,0:01,Jaguars,Mike Hollis 35 yard field goal,10,7
3,3.0,0:01,Jaguars,Mike Hollis 23 yard field goal,13,7
4,3.0,0:01,Bills,Steve Christie 24 yard field goal,13,10
5,3.0,0:01,Jaguars,Mike Hollis 27 yard field goal,16,10
6,4.0,0:18,Bills,Doug Flutie 1 yard rush (Steve Christie kick),16,17
