,Quarter,Tm,Detail,WAS,BUF
0,1.0,Bills,Jerry Butler 21 yard pass from Joe Ferguson (Nick Mike-Mayer kick),0,7
1,2.0,Bills,Roland Hooks 4 yard rush (Nick Mike-Mayer kick),0,14
2,2.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),7,14
3,2.0,Redskins,Art Monk 25 yard pass from Joe Theismann (Mark Moseley kick),14,14
4,3.0,Bills,Roland Hooks 18 yard rush (Nick Mike-Mayer kick),14,21
