,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Art Monk 23 yard pass from Joe Theismann,0,6
1,2.0,Redskins,Art Monk 12 yard pass from Joe Theismann (Mark Moseley kick),0,13
2,2.0,Cardinals,Neil Lomax 1 yard rush (Neil O'Donoghue kick),7,13
3,2.0,Redskins,John Riggins 5 yard rush (Mark Moseley kick),7,20
4,2.0,Redskins,Mark Moseley 21 yard field goal,7,23
5,3.0,Cardinals,Neil O'Donoghue 30 yard field goal,10,23
6,3.0,Cardinals,Roy Green 75 yard pass from Neil Lomax (Neil O'Donoghue kick),17,23
7,3.0,Redskins,Mark Moseley 37 yard field goal,17,26
8,4.0,Cardinals,Neil O'Donoghue 34 yard field goal,20,26
9,4.0,Cardinals,Roy Green 18 yard pass from Neil Lomax (Neil O'Donoghue kick),27,26
10,4.0,Redskins,Mark Moseley 37 yard field goal,27,29
