,Quarter,Tm,Detail,MIN,GNB
0,2.0,Packers,Carroll Dale 86 yard pass from Zeke Bratkowski (Don Chandler kick),0,7
1,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,7
2,4.0,Vikings,Fred Cox 12 yard field goal,10,7
