,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,5:05,Packers,Mason Crosby 37 yard field goal,0,3
1,1.0,1:17,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),7,3
2,2.0,10:42,Vikings,Visanthe Shiancoe 12 yard pass from Brett Favre (Ryan Longwell kick),14,3
3,2.0,0:09,Vikings,Ryan Longwell 41 yard field goal,17,3
4,3.0,13:08,Vikings,Percy Harvin 51 yard pass from Brett Favre (Ryan Longwell kick),24,3
5,3.0,8:28,Packers,Mason Crosby 26 yard field goal,24,6
6,3.0,6:30,Packers,Spencer Havner 16 yard pass from Aaron Rodgers (Mason Crosby kick),24,13
7,3.0,1:57,Packers,Spencer Havner 5 yard pass from Aaron Rodgers (Mason Crosby kick),24,20
8,4.0,13:35,Vikings,Jeff Dugan 2 yard pass from Brett Favre (Ryan Longwell kick),31,20
9,4.0,10:26,Packers,Greg Jennings 10 yard pass from Aaron Rodgers (pass failed),31,26
10,4.0,3:48,Vikings,Bernard Berrian 16 yard pass from Brett Favre (Ryan Longwell kick),38,26
