,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Jerry Rice 61 yard pass from Joe Montana (Mike Cofer kick),7,0
1,2.0,49ers,Jerry Rice 27 yard pass from Joe Montana (Mike Cofer kick),14,0
2,2.0,Bears,Kevin Butler 25 yard field goal,14,3
3,3.0,49ers,John Frank 5 yard pass from Joe Montana (Mike Cofer kick),21,3
4,4.0,49ers,Tom Rathman 4 yard rush (Mike Cofer kick),28,3
