,Quarter,Tm,Detail,MIN,TAM
0,1.0,Buccaneers,Vinny Testaverde 48 yard rush (Steve Christie kick),0,7
1,2.0,Buccaneers,Steve Christie 50 yard field goal,0,10
2,2.0,Buccaneers,Steve Christie 43 yard field goal,0,13
3,2.0,Buccaneers,Steve Christie 42 yard field goal,0,16
4,2.0,Buccaneers,Mark Carrier 25 yard pass from Vinny Testaverde (Steve Christie kick),0,23
5,3.0,Vikings,Hassan Jones 75 yard pass from Wade Wilson (Fuad Reveiz kick),7,23
6,3.0,Buccaneers,Steve Christie 30 yard field goal,7,26
7,3.0,Vikings,Herschel Walker 1 yard rush,13,26
