,Quarter,Tm,Detail,GNB,DEN
0,1.0,Broncos,Steve Foley 22 yard defensive fumble return (Rich Karlis kick),0,7
1,1.0,Broncos,Louis Wright 27 yard defensive fumble return (Rich Karlis kick),0,14
2,2.0,Broncos,Rich Karlis 30 yard field goal,0,17
3,3.0,Packers,Gerry Ellis 5 yard rush (Eddie Garcia kick),7,17
4,4.0,Packers,James Lofton 54 yard pass from Lynn Dickey (Eddie Garcia kick),14,17
