,Quarter,Tm,Detail,GNB,SDG
0,1.0,Packers,Dale Livingston 16 yard field goal,3,0
1,2.0,Packers,Dale Livingston 27 yard field goal,6,0
2,2.0,Chargers,Mike Mercer 16 yard field goal,6,3
3,2.0,Chargers,Mike Mercer 39 yard field goal,6,6
4,3.0,Packers,Jack Clancy 4 yard pass from Bart Starr,12,6
5,3.0,Packers,John Hilton 2 yard pass from Bart Starr (Dale Livingston kick),19,6
6,4.0,Chargers,Willie Frazier 24 yard rush (Mike Mercer kick),19,13
7,4.0,Chargers,Jeff Queen 1 yard rush (Mike Mercer kick),19,20
8,4.0,Packers,Dale Livingston 14 yard field goal,22,20
