,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Bob Waterfield 17 yard field goal,0,3
1,2.0,Lions,Pat Harder 33 yard field goal,3,3
2,2.0,Rams,Bob Waterfield 40 yard field goal,3,6
3,2.0,Lions,Pat Harder 3 yard rush (Doak Walker kick),10,6
4,2.0,Rams,Bob Waterfield 25 yard field goal,10,9
5,3.0,Rams,Dan Towler 2 yard rush (Bob Waterfield kick),10,16
6,3.0,Lions,Doak Walker 11 yard rush (Doak Walker kick),17,16
7,4.0,Rams,Bob Waterfield 20 yard field goal,17,19
8,4.0,Rams,Bob Waterfield 39 yard field goal,17,22
9,4.0,Lions,Leon Hart 22 yard pass from Doak Walker (Doak Walker kick),24,22
