,Quarter,Tm,Detail,NYG,STL
0,1.0,Giants,Bob Tucker 14 yard pass from Fran Tarkenton (Pete Gogolak kick),7,0
1,2.0,Giants,Don Herrmann 20 yard touchdown on a lateral (Pete Gogolak kick),14,0
2,2.0,Giants,Fran Tarkenton 3 yard rush (Pete Gogolak kick),21,0
3,2.0,Cardinals,Jim Bakken 25 yard field goal,21,3
4,3.0,Giants,Pete Gogolak 27 yard field goal,24,3
5,3.0,Cardinals,MacArthur Lane 78 yard pass from Jim Hart (Jim Bakken kick),24,10
6,4.0,Giants,Ron Johnson 9 yard pass from Fran Tarkenton (Pete Gogolak kick),31,10
7,4.0,Cardinals,Jackie Smith 47 yard pass from Jim Hart (Jim Bakken kick),31,17
8,4.0,Giants,Pete Gogolak 46 yard field goal,34,17
