,Quarter,Time,Tm,Detail,DAL,NOR
0,1.0,5:13,Cowboys,Brett Maher 28 yard field goal,3,0
1,2.0,15:00,Saints,Wil Lutz 40 yard field goal,3,3
2,2.0,8:46,Saints,Wil Lutz 42 yard field goal,3,6
3,2.0,0:02,Saints,Wil Lutz 19 yard field goal,3,9
4,3.0,7:52,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),10,9
5,4.0,13:45,Saints,Wil Lutz 26 yard field goal,10,12
