,Quarter,Tm,Detail,NYJ,RAM
0,2.0,Rams,Jack Snow 10 yard pass from Roman Gabriel (David Ray kick),0,7
1,2.0,Jets,Rich Caster 29 yard pass from Al Woodall (Jim Turner kick),7,7
2,2.0,Jets,George Nock 3 yard rush (Jim Turner kick),14,7
3,2.0,Jets,Jim Turner 23 yard field goal,17,7
4,3.0,Rams,David Ray 19 yard field goal,17,10
5,3.0,Jets,Lee White 11 yard pass from Al Woodall (Jim Turner kick),24,10
6,3.0,Rams,David Ray 15 yard field goal,24,13
7,4.0,Jets,George Sauer 11 yard pass from Al Woodall (Jim Turner kick),31,13
8,4.0,Rams,Tommy Mason 28 yard pass from Roman Gabriel (David Ray kick),31,20
