,Quarter,Tm,Detail,NWE,NYJ
0,2.0,Jets,Pat Leahy 18 yard field goal,0,3
1,3.0,Patriots,Fred Steinfort 33 yard field goal,3,3
2,3.0,Jets,Wesley Walker 64 yard pass from Richard Todd (Pat Leahy kick),3,10
3,3.0,Jets,Pat Leahy 34 yard field goal,3,13
4,3.0,Jets,Pat Leahy 35 yard field goal,3,16
5,4.0,Jets,Wesley Walker 8 yard pass from Richard Todd (Pat Leahy kick),3,23
6,4.0,Jets,Pat Leahy 19 yard field goal,3,26
