,Quarter,Tm,Detail,MIA,PHI
0,2.0,Eagles,Mike Quick 44 yard pass from Randall Cunningham (Paul McFadden kick),0,7
1,2.0,Dolphins,Mark Duper 20 yard pass from Dan Marino (Van Tiffin kick),7,7
2,2.0,Eagles,Paul McFadden 27 yard field goal,7,10
3,2.0,Dolphins,Ron Davenport 1 yard rush (Van Tiffin kick),14,10
4,3.0,Dolphins,Mark Clayton 11 yard pass from Dan Marino (Van Tiffin kick),21,10
5,3.0,Dolphins,Mark Clayton 20 yard pass from Dan Marino (Van Tiffin kick),28,10
