,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Bobby Johnson 8 yard pass from Phil Simms (Jess Atkinson kick),0,7
1,1.0,Cardinals,Roy Green 39 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,2.0,Giants,Jess Atkinson 20 yard field goal,7,10
3,2.0,Cardinals,Neil O'Donoghue 21 yard field goal,10,10
4,3.0,Giants,Jess Atkinson 19 yard field goal,10,13
5,3.0,Giants,Phil McConkey 20 yard pass from Phil Simms (Jess Atkinson kick),10,20
6,4.0,Giants,Bobby Johnson 16 yard pass from Phil Simms (Jess Atkinson kick),10,27
7,4.0,Cardinals,Earl Ferrell 15 yard pass from Neil Lomax (Neil O'Donoghue kick),17,27
