,Quarter,Tm,Detail,SEA,NWE
0,1,Seahawks,Chris Warren 2 yard rush (John Kasay kick),7,0
1,3,Patriots,Irving Fryar 36 yard pass from Hugh Millen,7,6
2,4,Seahawks,John Kasay 25 yard field goal,10,6
