,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,,Eagles,Gary Anderson 42 yard field goal,0,3
1,1.0,,Cowboys,Emmitt Smith 10 yard rush (Chris Boniol kick),7,3
2,2.0,,Cowboys,Chris Boniol 21 yard field goal,10,3
3,2.0,,Cowboys,Larry Brown 65 yard interception return (Chris Boniol kick),17,3
4,2.0,,Eagles,Gary Anderson 27 yard field goal,17,6
5,3.0,,Eagles,Ricky Watters 1 yard rush (Fred Barnett pass from Rodney Peete),17,14
6,4.0,,Eagles,Gary Anderson 38 yard field goal,17,17
7,4.0,,Eagles,Gary Anderson 42 yard field goal,17,20
