,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,"Safety, R. White tackled Ferragamo in end zone",0,2
1,2.0,Rams,Wendell Tyler 32 yard pass from Vince Ferragamo (Frank Corral kick),7,2
2,2.0,Cowboys,Rafael Septien 33 yard field goal,7,5
3,2.0,Rams,Ron Smith 43 yard pass from Vince Ferragamo (Frank Corral kick),14,5
4,3.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),14,12
5,4.0,Cowboys,Jay Saldi 2 yard pass from Roger Staubach (Rafael Septien kick),14,19
6,4.0,Rams,Billy Waddy 50 yard pass from Vince Ferragamo (Frank Corral kick),21,19
