,Quarter,Tm,Detail,TAM,NYJ
0,1.0,Buccaneers,Steve Christie 29 yard field goal,3,0
1,1.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),3,7
2,2.0,Buccaneers,Steve Christie 38 yard field goal,6,7
3,2.0,Jets,Pat Leahy 30 yard field goal,6,10
4,4.0,Jets,Pat Leahy 25 yard field goal,6,13
5,4.0,Buccaneers,Lawrence Dawsey 65 yard pass from Vinny Testaverde (Steve Christie kick),13,13
6,4.0,Jets,Pat Leahy 40 yard field goal,13,16
