,Quarter,Tm,Detail,OAK,KAN
0,1.0,Chiefs,Steve Gaunty 19 yard pass from Steve Fuller (Jan Stenerud kick),0,7
1,1.0,Chiefs,J.T. Smith 88 yard punt return (Jan Stenerud kick),0,14
2,3.0,Chiefs,Gary Barbaro 70 yard interception return (Jan Stenerud kick),0,21
3,4.0,Chiefs,Arnold Morgado 1 yard rush (Jan Stenerud kick),0,28
4,4.0,Raiders,Derrick Jensen 1 yard pass from Jim Plunkett (Jim Breech kick),7,28
5,4.0,Chiefs,Arnold Morgado 3 yard rush (Jan Stenerud kick),7,35
