,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Billy Jackson 3 yard rush (Nick Lowery kick),7,0
1,1.0,Chiefs,Walt Arnold 4 yard pass from Bill Kenney (Nick Lowery kick),14,0
2,2.0,Chiefs,Henry Marshall 8 yard pass from Bill Kenney (Nick Lowery kick),21,0
3,2.0,Chiefs,Stephone Paige 65 yard pass from Bill Kenney (Nick Lowery kick),28,0
4,3.0,Chiefs,Herman Heard 3 yard rush (Nick Lowery kick),35,0
5,3.0,Chiefs,Theotis Brown 2 yard rush (Nick Lowery kick),42,0
6,3.0,Chargers,Wes Chandler 15 yard pass from Ed Luther (Rolf Benirschke kick),42,7
7,4.0,Chargers,Buford McGee 2 yard rush (Rolf Benirschke kick),42,14
8,4.0,Chargers,Buford McGee 3 yard rush (Rolf Benirschke kick),42,21
