,Quarter,Time,Tm,Detail,SFO,MIN
0,1.0,10:30,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),0,7
1,1.0,2:55,49ers,Wade Richey 22 yard field goal,3,7
2,2.0,14:42,49ers,Darnell Walker 71 yard defensive fumble return (Wade Richey kick),10,7
3,2.0,14:25,Vikings,Matthew Hatchette 80 yard pass from Jeff George (Gary Anderson kick),10,14
4,2.0,7:38,49ers,Wade Richey 31 yard field goal,13,14
5,2.0,1:06,Vikings,Andrew Jordan 7 yard pass from Jeff George (Gary Anderson kick),13,21
6,2.0,0:00,Vikings,Gary Anderson 33 yard field goal,13,24
7,3.0,8:02,49ers,Wade Richey 26 yard field goal,16,24
8,3.0,2:54,Vikings,Moe Williams 9 yard rush (Gary Anderson kick),16,31
9,4.0,12:05,Vikings,Cris Carter 2 yard pass from Jeff George (Gary Anderson kick),16,38
10,4.0,7:20,Vikings,"Safety, Fann penalized for holding in end zone",16,40
