,Quarter,Tm,Detail,CRD,RAM
0,1.0,Rams,Jim Benton 62 yard pass from Parker Hall,0,6
1,1.0,Rams,Paul McDonough 65 yard pass from Parker Hall (Chet Adams kick),0,13
2,2.0,Cardinals,Lloyd Madden 29 yard rush (Beryl Clark kick),7,13
3,4.0,Rams,Jack Haman 35 yard interception return,7,19
4,4.0,Rams,Maury Patt 38 yard pass from Gaylon Smith (Johnny Drake kick),7,26
5,4.0,Cardinals,Johnny Hall 10 yard rush (Lou Zontini kick),14,26
