,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,9:12,Ravens,Ed Dickson 5 yard pass from Joe Flacco (Shayne Graham kick),0,7
1,1.0,0:58,Ravens,Shayne Graham 48 yard field goal,0,10
2,2.0,8:57,Ravens,Ray Rice 42 yard pass from Joe Flacco (Shayne Graham kick),0,17
3,3.0,5:50,Ravens,Shayne Graham 43 yard field goal,0,20
4,3.0,3:07,Browns,Josh Cribbs 84 yard punt return (Phil Dawson kick),7,20
5,4.0,8:22,Browns,Evan Moore 6 yard pass from Seneca Wallace (Phil Dawson kick),14,20
