,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,,Chargers,Tony Martin 20 yard pass from Stan Humphries (John Carney kick),7,0
1,2.0,,Chargers,Leonard Russell 4 yard rush (John Carney kick),14,0
2,2.0,,Chargers,Tony Martin 10 yard pass from Stan Humphries (John Carney kick),21,0
3,3.0,,Chargers,Leonard Russell 1 yard rush (John Carney kick),28,0
4,4.0,,Chiefs,Chris Penn 17 yard pass from Rich Gannon (Pete Stoyanovich kick),28,7
5,4.0,,Chiefs,Todd McNair 10 yard pass from Rich Gannon (Pete Stoyanovich kick),28,14
