,Quarter,Time,Tm,Detail,CIN,PIT
0,2.0,14:47,Steelers,Kris Brown 26 yard field goal,0,3
1,2.0,5:21,Steelers,Kordell Stewart 8 yard rush (Kris Brown kick),0,10
2,4.0,8:55,Steelers,Kris Brown 42 yard field goal,0,13
3,4.0,4:45,Bengals,Lorenzo Neal 1 yard pass from Jon Kitna (Neil Rackers kick),7,13
4,4.0,1:52,Steelers,Kris Brown 48 yard field goal,7,16
