,Quarter,Tm,Detail,DET,TAM
0,1.0,Buccaneers,Ricky Bell 1 yard rush (Neil O'Donoghue kick),0,7
1,1.0,Lions,Benny Ricardo 48 yard field goal,3,7
2,1.0,Lions,Jesse Thompson 9 yard pass from Greg Landry,9,7
3,2.0,Lions,Benny Ricardo 47 yard field goal,12,7
4,4.0,Lions,Benny Ricardo 27 yard field goal,15,7
