,Quarter,Tm,Detail,CRD,NYY
0,1.0,Cardinals,Charley Trippi 19 yard pass from Jim Hardy (Pat Harder kick),7,0
1,1.0,Bulldogs,Joe Golding 13 yard pass from Bobby Layne (Nick Scollard kick),7,7
2,2.0,Cardinals,Pat Harder 3 yard rush (Pat Harder kick),14,7
3,2.0,Cardinals,Billy Dewell 25 yard pass from Jim Hardy (Pat Harder kick),21,7
4,2.0,Cardinals,Pat Harder 42 yard rush (Pat Harder kick),28,7
5,2.0,Cardinals,Pat Harder 12 yard field goal,31,7
6,2.0,Cardinals,Mal Kutner 12 yard pass from Jim Hardy (Pat Harder kick),38,7
7,3.0,Cardinals,Bob Ravensberg 12 yard pass from Paul Christman (Pat Harder kick),45,7
8,3.0,Cardinals,Vic Schwall 12 yard pass from Paul Christman (Pat Harder kick),52,7
9,3.0,Bulldogs,Frank Muehlheuser 1 yard rush,52,13
10,4.0,Cardinals,Red Cochran 41 yard pass from Paul Christman,58,13
11,4.0,Cardinals,Red Cochran 22 yard rush (Pat Harder kick),65,13
12,4.0,Bulldogs,John Rauch 1 yard rush (Nick Scollard kick),65,20
