,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Roger Ruzek 37 yard field goal,0,3
1,2.0,Eagles,Roger Ruzek 28 yard field goal,0,6
2,2.0,Redskins,Art Monk 16 yard pass from Mark Rypien (Chip Lohmiller kick),7,6
3,2.0,Redskins,Chip Lohmiller 20 yard field goal,10,6
4,3.0,Redskins,Chip Lohmiller 19 yard field goal,13,6
5,3.0,Redskins,Gary Clark 2 yard pass from Mark Rypien (Chip Lohmiller kick),20,6
