,Quarter,Tm,Detail,BAL,PIT
0,1.0,Colts,Lou Michaels 38 yard field goal,3,0
1,2.0,Colts,Tom Mitchell 4 yard pass from Earl Morrall (Lou Michaels kick),10,0
2,2.0,Colts,Timmy Brown 2 yard rush (Lou Michaels kick),17,0
3,2.0,Colts,Bobby Boyd 25 yard interception return (Lou Michaels kick),24,0
4,3.0,Colts,Lou Michaels 19 yard field goal,27,0
5,4.0,Colts,Charlie Stukes 60 yard interception return (Lou Michaels kick),34,0
6,4.0,Colts,Roy Hilton 13 yard interception return (Lou Michaels kick),41,0
7,4.0,Steelers,Earl Gros 7 yard pass from Dick Shiner (Booth Lusteg kick),41,7
