,Quarter,Tm,Detail,GNB,CRD
0,1.0,Cardinals,Milan Creighton 27 yard pass from Ernie Nevers (Ernie Nevers kick),0,7
1,2.0,Packers,Tom Nash blocked punt recovery in end zone,6,7
2,3.0,Cardinals,Gene Rose 5 yard rush (Ernie Nevers kick),6,14
3,4.0,Cardinals,Chuck Kassel 16 yard pass from Ernie Nevers (Ernie Nevers kick),6,21
4,4.0,Packers,Hank Bruder 1 yard rush (Red Dunn kick),13,21
