,Quarter,Time,Tm,Detail,DEN,BAL
0,1.0,0:45,Ravens,Joe Flacco 1 yard rush (Billy Cundiff kick),0,7
1,2.0,10:16,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),0,14
2,2.0,9:21,Ravens,Billy Cundiff 37 yard field goal,0,17
3,2.0,0:48,Broncos,Brandon Lloyd 42 yard pass from Kyle Orton (Matt Prater kick),7,17
4,4.0,14:21,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),7,24
5,4.0,11:50,Broncos,Matt Prater 38 yard field goal,10,24
6,4.0,5:06,Ravens,Willis McGahee 30 yard rush (Billy Cundiff kick),10,31
7,4.0,0:35,Broncos,Brandon Lloyd 44 yard pass from Kyle Orton (Matt Prater kick),17,31
