,Quarter,Time,Tm,Detail,KAN,SFO
0,2.0,14:16,49ers,Charlie Garner 1 yard rush (Wade Richey kick),0,7
1,2.0,6:44,49ers,Jeff Garcia 2 yard rush (Wade Richey kick),0,14
2,2.0,0:23,49ers,Jeff Garcia 1 yard rush (Wade Richey kick),0,21
3,4.0,6:27,Chiefs,Donnell Bennett 1 yard rush (Todd Peterson kick),7,21
