,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,8:49,Saints,Wil Lutz 40 yard field goal,0,3
1,1.0,6:31,Saints,Justin Hardee 7 yard blocked punt return (Wil Lutz kick failed),0,9
2,2.0,2:57,Buccaneers,Patrick Murray 50 yard field goal,3,9
3,2.0,0:55,Saints,Alvin Kamara 33 yard pass from Drew Brees (Wil Lutz kick),3,16
4,3.0,9:59,Saints,Alvin Kamara 6 yard rush (Wil Lutz kick),3,23
5,3.0,9:39,Saints,Ted Ginn Jr. 36 yard pass from Drew Brees (Wil Lutz kick),3,30
6,4.0,6:48,Buccaneers,Luke Stocker 8 yard pass from Ryan Fitzpatrick (Patrick Murray kick),10,30
