,Quarter,Tm,Detail,ATL,WAS
0,2.0,Redskins,Mark Moseley 26 yard field goal,0,3
1,3.0,Falcons,Nick Mike-Mayer 23 yard field goal,3,3
2,3.0,Redskins,Mike Thomas 2 yard pass from Billy Kilmer (Mark Moseley kick),3,10
3,4.0,Falcons,Nick Mike-Mayer 27 yard field goal,6,10
