,Quarter,Time,Tm,Detail,NOR,BAL
0,1.0,,Ravens,Derrick Alexander 64 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,1.0,,Saints,Doug Brien 23 yard field goal,3,7
2,2.0,,Ravens,Matt Stover 38 yard field goal,3,10
3,4.0,,Saints,Michael Haynes 31 yard pass from Jim Everett (Doug Brien kick),10,10
4,4.0,,Ravens,Michael Jackson 6 yard pass from Vinny Testaverde (Matt Stover kick),10,17
