,Quarter,Time,Tm,Detail,BUF,PHI
0,1.0,,Eagles,Kevin Turner 23 yard pass from Ty Detmer (Gary Anderson kick),0,7
1,1.0,,Bills,Gabe Northern 18 yard blocked punt return (Steve Christie kick),7,7
2,1.0,,Eagles,Gary Anderson 23 yard field goal,7,10
3,2.0,,Bills,Thurman Thomas 5 yard rush (Steve Christie kick),14,10
4,2.0,,Bills,Steve Christie 38 yard field goal,17,10
5,3.0,,Bills,Quinn Early 5 yard pass from Jim Kelly (Steve Christie kick),24,10
6,4.0,,Eagles,Irving Fryar 10 yard pass from Ty Detmer (Gary Anderson kick),24,17
