,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Rob Lytle 2 yard rush (Fred Steinfort kick),0,7
1,2.0,Broncos,Fred Steinfort 23 yard field goal,0,10
2,2.0,Broncos,Larry Canada 2 yard rush (run failed),0,16
3,2.0,Chiefs,Nick Lowery 43 yard field goal,3,16
4,2.0,Chiefs,Nick Lowery 45 yard field goal,6,16
5,3.0,Chiefs,James Hadnot 1 yard rush (Nick Lowery kick),13,16
