,Quarter,Tm,Detail,NYG,CHI
0,2.0,Bears,Kevin Butler 46 yard field goal,0,3
1,2.0,Bears,Wendell Davis 75 yard pass from Jim Harbaugh (Kevin Butler kick),0,10
2,2.0,Bears,Kevin Butler 20 yard field goal,0,13
3,3.0,Giants,Matt Bahr 35 yard field goal,3,13
4,3.0,Giants,Rodney Hampton 6 yard rush (Matt Bahr kick),10,13
5,4.0,Giants,Rodney Hampton 3 yard rush (Matt Bahr kick),17,13
6,4.0,Bears,Neal Anderson 42 yard rush (Kevin Butler kick),17,20
