,Quarter,Tm,Detail,PHO,SEA
0,1.0,Cardinals,Roy Green 51 yard pass from Gary Hogeboom,6,0
1,1.0,Cardinals,Tony Jordan 1 yard rush (Al Del Greco kick),13,0
2,2.0,Seahawks,Paul Skansi 3 yard pass from Dave Krieg (Norm Johnson kick),13,7
3,3.0,Cardinals,J.T. Smith 25 yard pass from Gary Hogeboom (Al Del Greco kick),20,7
4,3.0,Seahawks,Paul Skansi 17 yard pass from Dave Krieg (Norm Johnson kick),20,14
5,4.0,Cardinals,Roy Green 6 yard pass from Gary Hogeboom (Al Del Greco kick),27,14
6,4.0,Seahawks,Norm Johnson 39 yard field goal,27,17
7,4.0,Cardinals,Roy Green 59 yard pass from Gary Hogeboom (Al Del Greco kick),34,17
8,4.0,Seahawks,Brian Blades 5 yard pass from Dave Krieg (Norm Johnson kick),34,24
