,Quarter,Time,Tm,Detail,IND,KAN
0,1.0,9:05,Chiefs,Harrison Butker 29 yard field goal,0,3
1,1.0,3:47,Colts,Jacoby Brissett 1 yard rush (Adam Vinatieri kick),7,3
2,2.0,14:19,Chiefs,Byron Pringle 27 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
3,2.0,11:16,Colts,Adam Vinatieri 32 yard field goal,10,10
4,2.0,0:13,Colts,Adam Vinatieri 32 yard field goal,13,10
5,4.0,7:44,Colts,Adam Vinatieri 31 yard field goal,16,10
6,4.0,2:30,Colts,Adam Vinatieri 29 yard field goal,19,10
7,4.0,1:19,Chiefs,Harrison Butker 36 yard field goal,19,13
