,Quarter,Tm,Detail,TAM,WAS
0,1.0,Buccaneers,Ricky Reynolds 33 yard blocked punt return (Donald Igwebuike kick),7,0
1,2.0,Redskins,Chip Lohmiller 33 yard field goal,7,3
2,2.0,Redskins,"Safety, Manley tackled Testaverde in end zone",7,5
3,2.0,Redskins,Gary Clark 7 yard pass from Mark Rypien (Chip Lohmiller kick),7,12
4,3.0,Redskins,Gary Clark 10 yard pass from Mark Rypien (Chip Lohmiller kick),7,19
5,3.0,Redskins,Chip Lohmiller 42 yard field goal,7,22
6,3.0,Redskins,Gerald Riggs 6 yard rush (Chip Lohmiller kick),7,29
7,4.0,Buccaneers,Lars Tate 10 yard pass from Vinny Testaverde (Donald Igwebuike kick),14,29
8,4.0,Buccaneers,Bruce Hill 20 yard pass from Vinny Testaverde (Donald Igwebuike kick),21,29
9,4.0,Redskins,Chip Lohmiller 29 yard field goal,21,32
10,4.0,Buccaneers,Mark Carrier 4 yard pass from Vinny Testaverde (Donald Igwebuike kick),28,32
