,Quarter,Time,Tm,Detail,NYG,NWE
0,1.0,1:48,Patriots,Chase Winovich 6 yard blocked punt return (Mike Nugent kick),0,7
1,2.0,7:17,Patriots,Brandon Bolden 1 yard rush (Mike Nugent kick),0,14
2,2.0,6:15,Giants,Golden Tate 64 yard pass from Daniel Jones (Aldrick Rosas kick),7,14
3,2.0,4:54,Giants,Markus Golden 42 yard fumble return (Aldrick Rosas kick),14,14
4,2.0,0:38,Patriots,Tom Brady 1 yard rush (Mike Nugent kick),14,21
5,4.0,8:43,Patriots,Kyle Van Noy 22 yard fumble return (Mike Nugent kick),14,28
6,4.0,3:53,Patriots,Tom Brady 1 yard rush (Mike Nugent kick),14,35
