,Quarter,Time,Tm,Detail,CLE,HOU
0,2.0,,Browns,Mark Carrier 25 yard pass from Vinny Testaverde (Tom Tupa run),8,0
1,2.0,,Browns,Matt Stover 35 yard field goal,11,0
2,4.0,,Oilers,Lorenzo White 5 yard pass from Billy Joe Tolliver (Haywood Jeffires pass from Billy Joe Tolliver),11,8
