,Quarter,Tm,Detail,CRD,RAM
0,2.0,Rams,Bob Waterfield 8 yard rush (Bob Waterfield kick),0,7
1,3.0,Rams,Steve Pritko 4 yard pass from Bob Waterfield (Bob Waterfield kick),0,14
2,3.0,Rams,Jim Gillette 25 yard rush (Bob Waterfield kick),0,21
