,Quarter,Tm,Detail,NOR,CLE
0,1.0,Browns,Matt Bahr 34 yard field goal,0,3
1,1.0,Saints,George Rogers 79 yard rush (Benny Ricardo kick),7,3
2,1.0,Browns,Mike Pruitt 8 yard rush (Matt Bahr kick),7,10
3,2.0,Saints,Wayne Wilson 8 yard pass from Tom Myers (Benny Ricardo kick),14,10
4,3.0,Saints,Benny Ricardo 21 yard field goal,17,10
5,3.0,Browns,Matt Bahr 19 yard field goal,17,13
6,4.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),17,20
