,Quarter,Time,Tm,Detail,JAX,CAR
0,1.0,9:29,Panthers,Christian McCaffrey 5 yard rush (Joey Slye kick),0,7
1,1.0,7:34,Jaguars,DJ Chark 37 yard pass from Gardner Minshew II (Josh Lambo kick),7,7
2,1.0,1:42,Panthers,Christian McCaffrey 18 yard pass from Kyle Allen (Joey Slye kick),7,14
3,2.0,13:43,Panthers,Brian Burns 56 yard fumble return (Joey Slye kick),7,21
4,2.0,6:13,Jaguars,DJ Chark 11 yard pass from Gardner Minshew II (Josh Lambo kick),14,21
5,2.0,1:01,Jaguars,Josh Lambo 35 yard field goal,17,21
6,3.0,14:01,Panthers,Christian McCaffrey 84 yard rush (Joey Slye kick),17,28
7,3.0,10:30,Jaguars,Leonard Fournette 1 yard rush (Josh Lambo kick),24,28
8,4.0,5:57,Jaguars,Josh Lambo 38 yard field goal,27,28
9,4.0,3:46,Panthers,Reggie Bonnafon 59 yard rush (Joey Slye kick failed),27,34
