,Quarter,Tm,Detail,IND,NYJ
0,1.0,Jets,Wesley Walker 19 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,1.0,Colts,Randy McMillan 4 yard rush (Dean Biasucci kick),7,7
2,2.0,Jets,Wesley Walker 5 yard pass from Ken O'Brien (Pat Leahy kick),7,14
3,2.0,Colts,"Safety, Leiding tackled Jennings in end zone",9,14
4,3.0,Jets,Pat Leahy 32 yard field goal,9,17
5,4.0,Colts,Bill Brooks 48 yard pass from Jack Trudeau (Dean Biasucci kick),16,17
6,4.0,Jets,Johnny Hector 17 yard rush (Pat Leahy kick),16,24
7,4.0,Jets,Wesley Walker 5 yard pass from Ken O'Brien (Pat Leahy kick),16,31
