,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Chris Jacke 42 yard field goal,3,0
1,1.0,Packers,Vince Workman 12 yard pass from Mike Tomczak (Chris Jacke kick),10,0
2,3.0,Packers,Chris Jacke 39 yard field goal,13,0
3,3.0,Packers,Vince Workman 1 yard rush (Chris Jacke kick),20,0
4,4.0,Packers,Keith Woodside 10 yard rush (Chris Jacke kick),27,0
5,4.0,Vikings,Terry Allen 9 yard pass from Rich Gannon (Fuad Reveiz kick),27,7
