,Quarter,Time,Tm,Detail,CHI,WAS
0,2.0,7:34,Redskins,John Hall 40 yard field goal,0,3
1,2.0,1:00,Redskins,John Hall 43 yard field goal,0,6
2,3.0,11:28,Bears,Thomas Jones 1 yard rush (Doug Brien kick),7,6
3,3.0,2:54,Redskins,John Hall 19 yard field goal,7,9
