,Quarter,Tm,Detail,BKN,NYG
0,1,Giants,Harry Newman 17 yard rush (Ken Strong kick),0,7
1,2,Giants,Glenn Campbell 17 yard pass from Harry Newman (Ken Strong kick),0,14
2,3,Giants,Kink Richards 70 yard rush (Jack McBride kick),0,21
3,4,Dodgers,Paul Riblett 14 yard pass from Benny Friedman (Benny Friedman kick),7,21
