,Quarter,Time,Tm,Detail,ATL,WAS
0,1.0,9:46,Falcons,Tevin Coleman 39 yard pass from Matt Ryan (Giorgio Tavecchio kick),7,0
1,2.0,9:10,Falcons,Ito Smith 12 yard rush (Giorgio Tavecchio kick),14,0
2,2.0,3:10,Redskins,Josh Doctson 2 yard pass from Alex Smith (Dustin Hopkins kick),14,7
3,2.0,0:28,Falcons,Calvin Ridley 40 yard pass from Matt Ryan (Giorgio Tavecchio kick),21,7
4,3.0,9:58,Falcons,Tevin Coleman 10 yard pass from Matt Ryan (Giorgio Tavecchio kick),28,7
5,3.0,2:15,Redskins,Kapri Bibbs 3 yard rush (Dustin Hopkins kick),28,14
6,4.0,7:09,Falcons,Giorgio Tavecchio 27 yard field goal,31,14
7,4.0,3:45,Falcons,Julio Jones 35 yard pass from Matt Ryan (Giorgio Tavecchio kick),38,14
