,Quarter,Tm,Detail,WAS,PHO
0,1.0,Redskins,Chip Lohmiller 43 yard field goal,3,0
1,2.0,Cardinals,Greg Davis 23 yard field goal,3,3
2,2.0,Cardinals,Greg Davis 45 yard field goal,3,6
3,2.0,Cardinals,Garrison Hearst 1 yard rush (Greg Davis kick),3,13
4,3.0,Cardinals,Ricky Proehl 42 yard pass from Steve Beuerlein (Greg Davis kick),3,20
5,3.0,Redskins,Chip Lohmiller 38 yard field goal,6,20
6,4.0,Cardinals,"Safety, Swann tackled Brooks in end zone",6,22
7,4.0,Cardinals,Johnny Bailey 14 yard rush (Greg Davis kick),6,29
8,4.0,Cardinals,Ronald Moore 1 yard rush (Greg Davis kick),6,36
