,Quarter,Tm,Detail,WAS,RAM
0,1.0,Redskins,Joe Washington 4 yard pass from Joe Theismann,6,0
1,2.0,Rams,Mike Guman 1 yard rush (Frank Corral kick),6,7
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),13,7
3,2.0,Redskins,Mark Moseley 35 yard field goal,16,7
4,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),23,7
5,3.0,Redskins,Virgil Seay 37 yard pass from Joe Theismann (Mark Moseley kick),30,7
