,Quarter,Tm,Detail,PHI,BKN
0,1.0,Dodgers,Ralph Kercheval 26 yard field goal,0,3
1,3.0,Eagles,Joe Carter 58 yard pass from Ed Matesic,6,3
2,3.0,Dodgers,Ralph Kercheval 44 yard pass from Red Franklin (Ralph Kercheval kick),6,10
3,3.0,Dodgers,Bull Karcis 2 yard rush (Ralph Kercheval kick),6,17
