,Quarter,Tm,Detail,PIT,BUF
0,1.0,Bills,James Lofton 22 yard pass from Jim Kelly (Steve Christie kick),0,7
1,2.0,Steelers,Gary Anderson 28 yard field goal,3,7
2,2.0,Bills,Mitch Frerotte 2 yard pass from Jim Kelly (Steve Christie kick),3,14
3,2.0,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),3,21
4,2.0,Steelers,Gary Anderson 49 yard field goal,6,21
5,3.0,Steelers,Ernie Mills 12 yard pass from Neil O'Donnell (Gary Anderson kick),13,21
6,3.0,Bills,James Lofton 45 yard pass from Jim Kelly (Steve Christie kick),13,28
7,3.0,Steelers,Merril Hoge 11 yard pass from Neil O'Donnell (Gary Anderson kick),20,28
