,Quarter,Tm,Detail,DEN,CLE
0,1.0,Broncos,Billy Masters 7 yard pass from Don Horn (Jim Turner kick),7,0
1,2.0,Broncos,Bobby Anderson 6 yard rush (Jim Turner kick),14,0
2,2.0,Broncos,Fred Forsberg 40 yard interception return (Jim Turner kick),21,0
3,2.0,Broncos,Jim Turner 10 yard field goal,24,0
4,3.0,Broncos,Jim Turner 36 yard field goal,27,0
